top	enrichment	err	sample	rank
230.0	0.1613520408163264	0.013071902660775155	fly	SPP
240.0	0.1610204081632653	0.013010181898381474	fly	SPP
250.0	0.16006122448979582	0.012918617042168698	fly	SPP
260.0	0.15908163265306122	0.012806112295971674	fly	SPP
270.0	0.15845918367346928	0.01275980315250062	fly	SPP
280.0	0.1582908163265306	0.012714275860667654	fly	SPP
290.0	0.1579132653061224	0.012661585149618983	fly	SPP
300.0	0.15764285714285714	0.012575699615798411	fly	SPP
310.0	0.15733673469387757	0.012511114656180282	fly	SPP
320.0	0.15700510204081625	0.012478044553916821	fly	SPP
330.0	0.15667346938775517	0.01241743332972599	fly	SPP
340.0	0.15615816326530615	0.012379237797174963	fly	SPP
350.0	0.15562244897959177	0.012317245997352705	fly	SPP
360.0	0.15515306122448982	0.012273773275471066	fly	SPP
370.0	0.15452040816326523	0.012211069900302853	fly	SPP
380.0	0.1541326530612245	0.012164781490567345	fly	SPP
390.0	0.1538316326530612	0.01211989365399436	fly	SPP
400.0	0.1531632653061224	0.012047050156156286	fly	SPP
410.0	0.1528775510204081	0.011975840258671471	fly	SPP
420.0	0.15235714285714275	0.011920791040308002	fly	SPP
430.0	0.15211224489795921	0.011883028730542174	fly	SPP
440.0	0.15170918367346944	0.01185670861055457	fly	SPP
450.0	0.1516326530612245	0.011853982048165564	fly	SPP
460.0	0.15109183673469384	0.011820073511016282	fly	SPP
470.0	0.15077040816326528	0.011772435263560768	fly	SPP
480.0	0.15036734693877543	0.011758884491972986	fly	SPP
490.0	0.15007653061224488	0.011710105852195294	fly	SPP
500.0	0.14975510204081627	0.011695187063152241	fly	SPP
510.0	0.14940816326530607	0.011656346650674027	fly	SPP
520.0	0.14910714285714285	0.011627113279442044	fly	SPP
530.0	0.14887755102040817	0.011577442769846727	fly	SPP
540.0	0.14861224489795913	0.011541278645982131	fly	SPP
550.0	0.1482755102040817	0.011500944290911622	fly	SPP
560.0	0.14809183673469392	0.011463634795961753	fly	SPP
570.0	0.14787244897959181	0.01144148973554191	fly	SPP
580.0	0.14755102040816323	0.011389167981013193	fly	SPP
590.0	0.14722448979591843	0.01135054882921804	fly	SPP
600.0	0.14684693877551017	0.011309505002679483	fly	SPP
610.0	0.14667857142857135	0.011264240652514499	fly	SPP
620.0	0.14650000000000002	0.011238984955778322	fly	SPP
630.0	0.14636734693877546	0.011218188993159645	fly	SPP
640.0	0.14604081632653057	0.011171438494170141	fly	SPP
650.0	0.14563775510204072	0.011123728862889325	fly	SPP
660.0	0.14544897959183667	0.011094155439870882	fly	SPP
670.0	0.14516326530612242	0.011065953716060908	fly	SPP
680.0	0.14483163265306115	0.011026642778510412	fly	SPP
690.0	0.1445561224489796	0.010981284185917189	fly	SPP
700.0	0.14425000000000004	0.010938779677699795	fly	SPP
710.0	0.14423469387755106	0.010915604608478886	fly	SPP
720.0	0.14411224489795904	0.010887187956805424	fly	SPP
730.0	0.1439132653061224	0.010859877144501843	fly	SPP
740.0	0.14348469387755103	0.010826389056473807	fly	SPP
750.0	0.14330102040816325	0.010789486083085645	fly	SPP
760.0	0.14302040816326533	0.010769367471171645	fly	SPP
770.0	0.14273469387755108	0.010734723125829395	fly	SPP
780.0	0.1424387755102041	0.010705588979982531	fly	SPP
790.0	0.14214795918367348	0.010677681929929694	fly	SPP
800.0	0.141984693877551	0.0106509372111921	fly	SPP
810.0	0.14184183673469383	0.010624175526775017	fly	SPP
820.0	0.1416938775510204	0.010609339053918044	fly	SPP
830.0	0.14140816326530609	0.010576515144619407	fly	SPP
840.0	0.14120918367346932	0.010548356695531983	fly	SPP
850.0	0.14101020408163262	0.01053105345418188	fly	SPP
860.0	0.14082142857142857	0.010506999423797443	fly	SPP
870.0	0.14077551020408158	0.010486995912394917	fly	SPP
880.0	0.14053571428571426	0.010460969733017205	fly	SPP
890.0	0.14048979591836727	0.010442670708326935	fly	SPP
900.0	0.1403214285714286	0.010426605201263955	fly	SPP
910.0	0.14022959183673475	0.010405391807112929	fly	SPP
920.0	0.14005102040816325	0.010371921362115752	fly	SPP
930.0	0.13981632653061224	0.010344120128798468	fly	SPP
940.0	0.13983673469387756	0.010331077185938859	fly	SPP
950.0	0.13975510204081637	0.010312008826160913	fly	SPP
960.0	0.13941326530612247	0.010289162432698923	fly	SPP
970.0	0.1393265306122449	0.010266846632283057	fly	SPP
980.0	0.13907653061224481	0.01023885317755067	fly	SPP
990.0	0.13882653061224487	0.01022423130909477	fly	SPP
1000.0	0.13866836734693877	0.010202329696544051	fly	SPP
1010.0	0.13843367346938779	0.010178393273622558	fly	SPP
1020.0	0.13831122448979594	0.010175112535240945	fly	SPP
1030.0	0.1380561224489796	0.010141926365295987	fly	SPP
1040.0	0.13788265306122446	0.010118337360577044	fly	SPP
1050.0	0.13768367346938779	0.01010055719089748	fly	SPP
1060.0	0.13760714285714284	0.010091969480004782	fly	SPP
1070.0	0.13748469387755094	0.010063483674411141	fly	SPP
1080.0	0.13736734693877545	0.010040341901041347	fly	SPP
1090.0	0.1372448979591836	0.010023805058030152	fly	SPP
1100.0	0.13703061224489796	0.010005681034547855	fly	SPP
1110.0	0.1368163265306123	0.00997293746226484	fly	SPP
1120.0	0.13667857142857134	0.00994909170192708	fly	SPP
1130.0	0.13658163265306114	0.009919576780428385	fly	SPP
1140.0	0.13642346938775515	0.009901746316493416	fly	SPP
1150.0	0.13634693877551016	0.009880000053180377	fly	SPP
1160.0	0.1362142857142857	0.00985516649507938	fly	SPP
1170.0	0.13614795918367345	0.00983534074160613	fly	SPP
1180.0	0.1359693877551021	0.009823118824020986	fly	SPP
1190.0	0.13596428571428573	0.009805538260905447	fly	SPP
1200.0	0.1358265306122448	0.009791561449326112	fly	SPP
1210.0	0.1357857142857142	0.009772012546009753	fly	SPP
1220.0	0.13554591836734695	0.009754987167589727	fly	SPP
1230.0	0.13532653061224487	0.009727914246897834	fly	SPP
1240.0	0.13518877551020406	0.009710153203240725	fly	SPP
1250.0	0.13499489795918365	0.009693590586239743	fly	SPP
1260.0	0.13495408163265302	0.009678414413841601	fly	SPP
1270.0	0.13486224489795912	0.009658793344410166	fly	SPP
1280.0	0.13470918367346935	0.009637474312915896	fly	SPP
1290.0	0.13457653061224484	0.009623925048253507	fly	SPP
1300.0	0.13443877551020403	0.009610899786006209	fly	SPP
1310.0	0.13431632653061218	0.009594568261763886	fly	SPP
1320.0	0.13419387755102039	0.009580549796175203	fly	SPP
1330.0	0.13401530612244894	0.009563055976773534	fly	SPP
1340.0	0.13388775510204073	0.00954894238352931	fly	SPP
1350.0	0.13377551020408154	0.009530822677597124	fly	SPP
1360.0	0.1336683673469388	0.009512520934180495	fly	SPP
1370.0	0.13363775510204076	0.009501121254457049	fly	SPP
1380.0	0.1335306122448979	0.009488279167344873	fly	SPP
1390.0	0.1332908163265305	0.009469121956641966	fly	SPP
1400.0	0.13312755102040807	0.00944696536794336	fly	SPP
1410.0	0.1330255102040816	0.009440857896078356	fly	SPP
1420.0	0.13295918367346937	0.009429583797172389	fly	SPP
1430.0	0.13288265306122438	0.009403535832845696	fly	SPP
1440.0	0.1327295918367347	0.009390522444654064	fly	SPP
1450.0	0.13261224489795917	0.009376003041562036	fly	SPP
1460.0	0.1325867346938775	0.009369544846513459	fly	SPP
1470.0	0.13250510204081625	0.009359072019483591	fly	SPP
1480.0	0.13233163265306122	0.009343068076666872	fly	SPP
1490.0	0.1323316326530612	0.009329358469788338	fly	SPP
1500.0	0.1322704081632653	0.009322309781606834	fly	SPP
1510.0	0.13217857142857137	0.009322293056344137	fly	SPP
1520.0	0.13214285714285706	0.00931838715065445	fly	SPP
1530.0	0.13197448979591833	0.009310191565826433	fly	SPP
1540.0	0.1318826530612245	0.00929594294482256	fly	SPP
1550.0	0.13190306122448972	0.009294153896683645	fly	SPP
1560.0	0.13178571428571426	0.00928249169214021	fly	SPP
1570.0	0.1317142857142857	0.009268597918689534	fly	SPP
1580.0	0.13165306122448978	0.00925803200881112	fly	SPP
1590.0	0.13159693877551024	0.009252183978761529	fly	SPP
1600.0	0.1315816326530613	0.009249364883902097	fly	SPP
1610.0	0.13152040816326532	0.009240615925837244	fly	SPP
1620.0	0.13145408163265307	0.009228548445086849	fly	SPP
1630.0	0.13143367346938775	0.009221587727358703	fly	SPP
1640.0	0.1313877551020408	0.009210709375828326	fly	SPP
1650.0	0.13139285714285714	0.009206953595272136	fly	SPP
1660.0	0.1313418367346938	0.009197134699500892	fly	SPP
1670.0	0.1312397959183673	0.009185904454579383	fly	SPP
1680.0	0.13117857142857142	0.009175848714625786	fly	SPP
1690.0	0.1311632653061225	0.009169776042040367	fly	SPP
1700.0	0.13103571428571428	0.009162739870593241	fly	SPP
1710.0	0.13097959183673466	0.00915291330888488	fly	SPP
1720.0	0.13091326530612238	0.009143259957801953	fly	SPP
1730.0	0.13078061224489787	0.009130393815018858	fly	SPP
1740.0	0.13069387755102033	0.009111920577777571	fly	SPP
1750.0	0.13060204081632643	0.009104465180130751	fly	SPP
1760.0	0.1305867346938774	0.00909572548055049	fly	SPP
1770.0	0.13048979591836724	0.009086549624660569	fly	SPP
1780.0	0.13040306122448972	0.00907932821820306	fly	SPP
