top	enrichment	err	sample	rank
1510.0	0.12203389830508476	0.021132240197058352	worm	C-score
1760.0	0.11694915254237288	0.019960004189102685	worm	C-score
2010.0	0.11267796610169489	0.019025705344819514	worm	C-score
2260.0	0.10938983050847456	0.018297799814548044	worm	C-score
2510.0	0.1066101694915254	0.017636319138256612	worm	C-score
2760.0	0.10422033898305086	0.01703717645413368	worm	C-score
3010.0	0.10233898305084746	0.016670468086884126	worm	C-score
50.0	0.14916949152542366	0.028334853299074158	worm	SPP
250.0	0.13833898305084738	0.0245437813013118	worm	SPP
500.0	0.1269322033898305	0.02269497461613194	worm	SPP
750.0	0.12176271186440678	0.021545587825663758	worm	SPP
1000.0	0.11745762711864406	0.020556422930319864	worm	SPP
1250.0	0.11383050847457629	0.019724789005476404	worm	SPP
1500.0	0.1115084745762712	0.01920942402292257	worm	SPP
1750.0	0.10925423728813558	0.018527414934672005	worm	SPP
2000.0	0.10718644067796607	0.017982985571425865	worm	SPP
2250.0	0.10559322033898302	0.017514861663807654	worm	SPP
2500.0	0.10428813559322031	0.017114033786726587	worm	SPP
2750.0	0.10315254237288136	0.016831961011419917	worm	SPP
3000.0	0.10233898305084746	0.016670468086884126	worm	SPP
60.0	0.04171186440677968	0.004444215623894086	worm	C-score Shuffled
260.0	0.03689830508474578	0.003142504270320969	worm	C-score Shuffled
510.0	0.03566101694915255	0.0026877876255357977	worm	C-score Shuffled
760.0	0.03528813559322032	0.002670164489868733	worm	C-score Shuffled
1010.0	0.03571186440677965	0.002584068761882195	worm	C-score Shuffled
1260.0	0.0353050847457627	0.0025487937621350193	worm	C-score Shuffled
1510.0	0.03516949152542371	0.0025510741417419554	worm	C-score Shuffled
1760.0	0.034983050847457606	0.0025304101960032586	worm	C-score Shuffled
2010.0	0.034949152542372866	0.0024946961539502027	worm	C-score Shuffled
2260.0	0.034915254237288126	0.0024992445539599893	worm	C-score Shuffled
2510.0	0.03477966101694914	0.0025193659964997572	worm	C-score Shuffled
2760.0	0.03481355932203388	0.002524974561823495	worm	C-score Shuffled
3010.0	0.03481355932203389	0.002519645148667235	worm	C-score Shuffled
50.0	0.034593220338983065	0.0041040043056478435	worm	SPP Shuffled
250.0	0.03377966101694916	0.002720473258392012	worm	SPP Shuffled
500.0	0.03372881355932205	0.002528832048669252	worm	SPP Shuffled
750.0	0.034203389830508454	0.0024704897283664875	worm	SPP Shuffled
1000.0	0.03408474576271186	0.002443671454718297	worm	SPP Shuffled
1250.0	0.03445762711864406	0.0024469021713300664	worm	SPP Shuffled
1500.0	0.03447457627118642	0.0024449946403763264	worm	SPP Shuffled
1750.0	0.034542372881355914	0.0024940984737779307	worm	SPP Shuffled
2000.0	0.03459322033898304	0.002492199243323192	worm	SPP Shuffled
2250.0	0.03476271186440677	0.002516263753012168	worm	SPP Shuffled
2500.0	0.034830508474576256	0.0025221580916236276	worm	SPP Shuffled
2750.0	0.03483050847457625	0.002524242778099905	worm	SPP Shuffled
3000.0	0.03481355932203389	0.002519645148667235	worm	SPP Shuffled
60.0	0.5287096774193548	0.04374490005537769	GM12878	C-score
260.0	0.4923870967741935	0.04335693820304948	GM12878	C-score
510.0	0.4774516129032257	0.041988217464275175	GM12878	C-score
760.0	0.46906451612903216	0.040986544276417854	GM12878	C-score
1010.0	0.4598709677419354	0.03996496670403545	GM12878	C-score
1260.0	0.4506129032258065	0.039186298955463016	GM12878	C-score
1510.0	0.44087096774193535	0.038593732581052496	GM12878	C-score
1760.0	0.4326451612903225	0.03795974026381008	GM12878	C-score
2010.0	0.4245967741935484	0.03758665967535893	GM12878	C-score
2260.0	0.41653225806451616	0.037108924791430735	GM12878	C-score
2510.0	0.40875806451612895	0.036634737768422965	GM12878	C-score
2760.0	0.401516129032258	0.0360987374875401	GM12878	C-score
3010.0	0.3931451612903225	0.03531553654568137	GM12878	C-score
50.0	0.489032258064516	0.043470973361342105	GM12878	SPP
250.0	0.4863225806451613	0.041388441061644805	GM12878	SPP
500.0	0.47212903225806435	0.04023263580152713	GM12878	SPP
750.0	0.46069354838709686	0.03946375472400979	GM12878	SPP
1000.0	0.44998387096774184	0.038777051197785885	GM12878	SPP
1250.0	0.4401935483870968	0.03840359332510572	GM12878	SPP
1500.0	0.4315967741935483	0.03791252881546143	GM12878	SPP
1750.0	0.4238225806451612	0.03743660620266373	GM12878	SPP
2000.0	0.41685483870967727	0.03700611556912861	GM12878	SPP
2250.0	0.4104193548387097	0.03658621041291593	GM12878	SPP
2500.0	0.4036774193548387	0.03613141281724313	GM12878	SPP
2750.0	0.3979516129032258	0.03569313976141935	GM12878	SPP
3000.0	0.3931451612903225	0.03531553654568137	GM12878	SPP
60.0	0.10032258064516125	0.010553100957386373	GM12878	C-score Shuffled
260.0	0.10000000000000002	0.010146259858011373	GM12878	C-score Shuffled
510.0	0.10199999999999997	0.010330242397213774	GM12878	C-score Shuffled
760.0	0.10335483870967745	0.010430477876542757	GM12878	C-score Shuffled
1010.0	0.10338709677419355	0.010475206931280718	GM12878	C-score Shuffled
1260.0	0.1038064516129032	0.010491285666638529	GM12878	C-score Shuffled
1510.0	0.10379032258064519	0.01033103934400756	GM12878	C-score Shuffled
1760.0	0.10408064516129036	0.010316444707607746	GM12878	C-score Shuffled
2010.0	0.10356451612903224	0.010235632666339891	GM12878	C-score Shuffled
2260.0	0.10341935483870966	0.010198390297882883	GM12878	C-score Shuffled
2510.0	0.10351612903225808	0.01004081417013045	GM12878	C-score Shuffled
2760.0	0.10301612903225808	0.00988630480539488	GM12878	C-score Shuffled
3010.0	0.10280645161290322	0.009685095668703505	GM12878	C-score Shuffled
50.0	0.10161290322580639	0.011107840091389517	GM12878	SPP Shuffled
250.0	0.10690322580645158	0.010561063899597921	GM12878	SPP Shuffled
500.0	0.10803225806451609	0.010298197173012566	GM12878	SPP Shuffled
750.0	0.10635483870967742	0.009874546138193987	GM12878	SPP Shuffled
1000.0	0.10537096774193548	0.009759352830679939	GM12878	SPP Shuffled
1250.0	0.10525806451612903	0.00980224710862603	GM12878	SPP Shuffled
