Type	TF	Acc	Cell	Tool
SPP	SPI1	1	GM12878	DREME
SPP	USF2	2	GM12878	DREME
SPP	ZBED1	1	GM12878	DREME
SPP	JUNB	1	GM12878	DREME
SPP	ZSCAN29	3	GM12878	DREME
SPP	RUNX3	3	GM12878	DREME
SPP	NR2F1	2	GM12878	DREME
SPP	BATF	1	GM12878	DREME
SPP	ELK1	3	GM12878	DREME
SPP	EBF1	3	GM12878	DREME
SPP	USF1	2	GM12878	DREME
SPP	YBX1	0	GM12878	DREME
SPP	E2F8	2	GM12878	DREME
SPP	GABPA	4	GM12878	DREME
SPP	CTCF	2	GM12878	DREME
SPP	IRF5	0	GM12878	DREME
SPP	BCL11A	0	GM12878	DREME
SPP	IRF3	1	GM12878	DREME
SPP	SP1	2	GM12878	DREME
SPP	YY1	2	GM12878	DREME
SPP	PKNOX1	0	GM12878	DREME
SPP	MEF2A	2	GM12878	DREME
SPP	KLF5	2	GM12878	DREME
SPP	JUND	1	GM12878	DREME
SPP	IRF4	1	GM12878	DREME
SPP	ZZZ3	0	GM12878	DREME
SPP	MAFK	3	GM12878	DREME
SPP	NFATC1	1	GM12878	DREME
SPP	TCF12	1	GM12878	DREME
SPP	NFIC	0	GM12878	DREME
SPP	FOS	1	GM12878	DREME
SPP	ATF7	2	GM12878	DREME
SPP	NRF1	1	GM12878	DREME
SPP	CREM	3	GM12878	DREME
SPP	NR2C1	0	GM12878	DREME
SPP	NFATC3	2	GM12878	DREME
SPP	ZNF384	2	GM12878	DREME
SPP	RELA	2	GM12878	DREME
SPP	PAX8	2	GM12878	DREME
SPP	PAX5	2	GM12878	DREME
SPP	RFX5	2	GM12878	DREME
SPP	ELF1	3	GM12878	DREME
SPP	ATF2	1	GM12878	DREME
SPP	CUX1	1	GM12878	DREME
SPP	RXRA	0	GM12878	DREME
SPP	E2F4	1	GM12878	DREME
SPP	NR2C2	1	GM12878	DREME
SPP	SRF	1	GM12878	DREME
SPP	CEBPB	2	GM12878	DREME
SPP	BHLHE40	1	GM12878	DREME
SPP	ESRRA	2	GM12878	DREME
SPP	TBX21	1	GM12878	DREME
SPP	TCF7	3	GM12878	DREME
SPP	MEF2B	0	GM12878	DREME
SPP	SMAD5	0	GM12878	DREME
SPP	HSF1	2	GM12878	DREME
SPP	MEF2C	2	GM12878	DREME
SPP	ETV6	1	GM12878	DREME
SPP	MAX	2	GM12878	DREME
SPP	ZNF143	1	GM12878	DREME
SPP	ETS1	3	GM12878	DREME
SPP	ZBTB33	1	GM12878	DREME
SPP_short	SPI1	3	GM12878	DREME
SPP_short	USF2	3	GM12878	DREME
SPP_short	ZBED1	3	GM12878	DREME
SPP_short	JUNB	3	GM12878	DREME
SPP_short	ZSCAN29	2	GM12878	DREME
SPP_short	RUNX3	3	GM12878	DREME
SPP_short	NR2F1	5	GM12878	DREME
SPP_short	BATF	3	GM12878	DREME
SPP_short	ELK1	4	GM12878	DREME
SPP_short	EBF1	4	GM12878	DREME
SPP_short	USF1	1	GM12878	DREME
SPP_short	YBX1	1	GM12878	DREME
SPP_short	E2F8	2	GM12878	DREME
SPP_short	GABPA	5	GM12878	DREME
SPP_short	CTCF	4	GM12878	DREME
SPP_short	IRF5	1	GM12878	DREME
SPP_short	BCL11A	0	GM12878	DREME
SPP_short	IRF3	0	GM12878	DREME
SPP_short	SP1	0	GM12878	DREME
SPP_short	YY1	4	GM12878	DREME
SPP_short	PKNOX1	0	GM12878	DREME
SPP_short	MEF2A	3	GM12878	DREME
SPP_short	KLF5	0	GM12878	DREME
SPP_short	JUND	4	GM12878	DREME
SPP_short	IRF4	1	GM12878	DREME
SPP_short	ZZZ3	1	GM12878	DREME
SPP_short	MAFK	4	GM12878	DREME
SPP_short	NFATC1	2	GM12878	DREME
SPP_short	TCF12	4	GM12878	DREME
SPP_short	NFIC	0	GM12878	DREME
SPP_short	FOS	0	GM12878	DREME
SPP_short	ATF7	2	GM12878	DREME
SPP_short	NRF1	3	GM12878	DREME
SPP_short	CREM	3	GM12878	DREME
SPP_short	NR2C1	2	GM12878	DREME
SPP_short	NFATC3	1	GM12878	DREME
SPP_short	ZNF384	3	GM12878	DREME
SPP_short	RELA	5	GM12878	DREME
SPP_short	PAX8	5	GM12878	DREME
SPP_short	PAX5	5	GM12878	DREME
SPP_short	RFX5	3	GM12878	DREME
SPP_short	ELF1	4	GM12878	DREME
SPP_short	ATF2	3	GM12878	DREME
SPP_short	CUX1	2	GM12878	DREME
SPP_short	RXRA	1	GM12878	DREME
SPP_short	E2F4	1	GM12878	DREME
SPP_short	NR2C2	2	GM12878	DREME
SPP_short	SRF	2	GM12878	DREME
SPP_short	CEBPB	4	GM12878	DREME
SPP_short	BHLHE40	5	GM12878	DREME
SPP_short	ESRRA	4	GM12878	DREME
SPP_short	TBX21	4	GM12878	DREME
SPP_short	TCF7	4	GM12878	DREME
SPP_short	MEF2B	0	GM12878	DREME
SPP_short	SMAD5	0	GM12878	DREME
SPP_short	HSF1	5	GM12878	DREME
SPP_short	MEF2C	4	GM12878	DREME
SPP_short	ETV6	0	GM12878	DREME
SPP_short	MAX	2	GM12878	DREME
SPP_short	ZNF143	1	GM12878	DREME
SPP_short	ETS1	2	GM12878	DREME
SPP_short	ZBTB33	0	GM12878	DREME
MOBI	SPI1	4	GM12878	DREME
MOBI	USF2	3	GM12878	DREME
MOBI	ZBED1	3	GM12878	DREME
MOBI	JUNB	3	GM12878	DREME
MOBI	ZSCAN29	3	GM12878	DREME
MOBI	RUNX3	4	GM12878	DREME
MOBI	NR2F1	5	GM12878	DREME
MOBI	BATF	1	GM12878	DREME
MOBI	ELK1	2	GM12878	DREME
MOBI	EBF1	5	GM12878	DREME
MOBI	USF1	2	GM12878	DREME
MOBI	YBX1	0	GM12878	DREME
MOBI	E2F8	3	GM12878	DREME
MOBI	GABPA	4	GM12878	DREME
MOBI	CTCF	3	GM12878	DREME
MOBI	IRF5	2	GM12878	DREME
MOBI	BCL11A	1	GM12878	DREME
MOBI	IRF3	0	GM12878	DREME
MOBI	SP1	1	GM12878	DREME
MOBI	YY1	2	GM12878	DREME
MOBI	PKNOX1	1	GM12878	DREME
MOBI	MEF2A	2	GM12878	DREME
MOBI	KLF5	0	GM12878	DREME
MOBI	JUND	2	GM12878	DREME
MOBI	IRF4	2	GM12878	DREME
MOBI	ZZZ3	0	GM12878	DREME
MOBI	MAFK	5	GM12878	DREME
MOBI	NFATC1	2	GM12878	DREME
MOBI	TCF12	4	GM12878	DREME
MOBI	NFIC	0	GM12878	DREME
MOBI	FOS	1	GM12878	DREME
MOBI	ATF7	2	GM12878	DREME
MOBI	NRF1	4	GM12878	DREME
MOBI	CREM	4	GM12878	DREME
MOBI	NR2C1	3	GM12878	DREME
MOBI	NFATC3	1	GM12878	DREME
MOBI	ZNF384	4	GM12878	DREME
MOBI	RELA	5	GM12878	DREME
MOBI	PAX8	2	GM12878	DREME
MOBI	PAX5	3	GM12878	DREME
MOBI	RFX5	2	GM12878	DREME
MOBI	ELF1	4	GM12878	DREME
MOBI	ATF2	2	GM12878	DREME
MOBI	CUX1	2	GM12878	DREME
MOBI	RXRA	0	GM12878	DREME
MOBI	E2F4	1	GM12878	DREME
MOBI	NR2C2	3	GM12878	DREME
MOBI	SRF	4	GM12878	DREME
MOBI	CEBPB	4	GM12878	DREME
MOBI	BHLHE40	2	GM12878	DREME
MOBI	ESRRA	3	GM12878	DREME
MOBI	TBX21	3	GM12878	DREME
MOBI	TCF7	3	GM12878	DREME
MOBI	MEF2B	0	GM12878	DREME
MOBI	SMAD5	0	GM12878	DREME
MOBI	HSF1	5	GM12878	DREME
MOBI	MEF2C	4	GM12878	DREME
MOBI	ETV6	0	GM12878	DREME
MOBI	MAX	3	GM12878	DREME
MOBI	ZNF143	1	GM12878	DREME
MOBI	ETS1	3	GM12878	DREME
MOBI	ZBTB33	0	GM12878	DREME
SPP	SPI1	2	K562	DREME
SPP	ETS2	0	K562	DREME
SPP	TEAD2	3	K562	DREME
SPP	USF2	3	K562	DREME
SPP	MNT	1	K562	DREME
SPP	ZBED1	1	K562	DREME
SPP	MEF2D	2	K562	DREME
SPP	JUNB	1	K562	DREME
SPP	ZSCAN29	3	K562	DREME
SPP	NR2F1	3	K562	DREME
SPP	THRA	2	K562	DREME
SPP	ELK1	2	K562	DREME
SPP	MGA	1	K562	DREME
SPP	FOXJ2	3	K562	DREME
SPP	E2F7	3	K562	DREME
SPP	USF1	2	K562	DREME
SPP	YBX1	2	K562	DREME
SPP	ZNF274	1	K562	DREME
SPP	E2F8	3	K562	DREME
SPP	GABPA	4	K562	DREME
SPP	CTCF	3	K562	DREME
SPP	ZHX1	1	K562	DREME
SPP	RFX1	3	K562	DREME
SPP	ZBTB2	0	K562	DREME
SPP	E2F1	2	K562	DREME
SPP	DNMT1	0	K562	DREME
SPP	ZNF282	1	K562	DREME
SPP	EGR1	3	K562	DREME
SPP	SP1	4	K562	DREME
SPP	MAFG	2	K562	DREME
SPP	ATF4	1	K562	DREME
SPP	YY1	3	K562	DREME
SPP	NEUROD1	0	K562	DREME
SPP	PKNOX1	0	K562	DREME
SPP	MEF2A	2	K562	DREME
SPP	JUND	2	K562	DREME
SPP	LEF1	2	K562	DREME
SPP	CREB3L1	2	K562	DREME
SPP	NR3C1	0	K562	DREME
SPP	ZZZ3	1	K562	DREME
SPP	MEIS2	1	K562	DREME
SPP	MAFK	3	K562	DREME
SPP	TCF12	1	K562	DREME
SPP	NFIC	3	K562	DREME
SPP	FOS	0	K562	DREME
SPP	ATF7	2	K562	DREME
SPP	KLF13	3	K562	DREME
SPP	GATA1	4	K562	DREME
SPP	MAFF	2	K562	DREME
SPP	NRF1	1	K562	DREME
SPP	CREM	3	K562	DREME
SPP	KLF16	0	K562	DREME
SPP	NR2C1	2	K562	DREME
SPP	KLF1	2	K562	DREME
SPP	NFE2	2	K562	DREME
SPP	NFATC3	0	K562	DREME
SPP	FOSL1	3	K562	DREME
SPP	CEBPG	2	K562	DREME
SPP	ZNF384	2	K562	DREME
SPP	RELA	0	K562	DREME
SPP	SREBF1	2	K562	DREME
SPP	HINFP	2	K562	DREME
SPP	ETV1	3	K562	DREME
SPP	RFX5	2	K562	DREME
SPP	ELF1	2	K562	DREME
SPP	NR2F6	2	K562	DREME
SPP	GATA2	3	K562	DREME
SPP	FOXA1	3	K562	DREME
SPP	IRF9	0	K562	DREME
SPP	ATF2	2	K562	DREME
SPP	ELF4	3	K562	DREME
SPP	CUX1	3	K562	DREME
SPP	ZBTB7A	2	K562	DREME
SPP	POU5F1	1	K562	DREME
SPP	NR2C2	1	K562	DREME
SPP	CEBPB	3	K562	DREME
SPP	NR4A1	1	K562	DREME
SPP	GMEB1	3	K562	DREME
SPP	BHLHE40	2	K562	DREME
SPP	ESRRA	3	K562	DREME
SPP	IRF2	2	K562	DREME
SPP	JUN	2	K562	DREME
SPP	TCF7	3	K562	DREME
SPP	MYBL2	0	K562	DREME
SPP	SMAD5	0	K562	DREME
SPP	HMBOX1	2	K562	DREME
SPP	ZNF740	2	K562	DREME
SPP	ETV6	4	K562	DREME
SPP	CREB3	1	K562	DREME
SPP	MAX	1	K562	DREME
SPP	HES1	1	K562	DREME
SPP	TEAD4	0	K562	DREME
SPP	ZNF263	3	K562	DREME
SPP	ZNF143	2	K562	DREME
SPP	NFE2L1	1	K562	DREME
SPP	ETS1	0	K562	DREME
SPP	ATF3	3	K562	DREME
SPP	ZBTB33	0	K562	DREME
SPP	VEZF1	2	K562	DREME
SPP_short	SPI1	4	K562	DREME
SPP_short	ETS2	0	K562	DREME
SPP_short	TEAD2	2	K562	DREME
SPP_short	USF2	2	K562	DREME
SPP_short	MNT	2	K562	DREME
SPP_short	ZBED1	1	K562	DREME
SPP_short	MEF2D	1	K562	DREME
SPP_short	JUNB	1	K562	DREME
SPP_short	ZSCAN29	4	K562	DREME
SPP_short	NR2F1	5	K562	DREME
SPP_short	THRA	3	K562	DREME
SPP_short	ELK1	4	K562	DREME
SPP_short	MGA	3	K562	DREME
SPP_short	FOXJ2	5	K562	DREME
SPP_short	E2F7	3	K562	DREME
SPP_short	USF1	3	K562	DREME
SPP_short	YBX1	1	K562	DREME
SPP_short	ZNF274	2	K562	DREME
SPP_short	E2F8	3	K562	DREME
SPP_short	GABPA	5	K562	DREME
SPP_short	CTCF	3	K562	DREME
SPP_short	ZHX1	0	K562	DREME
SPP_short	RFX1	3	K562	DREME
SPP_short	ZBTB2	0	K562	DREME
SPP_short	E2F1	2	K562	DREME
SPP_short	DNMT1	1	K562	DREME
SPP_short	ZNF282	1	K562	DREME
SPP_short	EGR1	3	K562	DREME
SPP_short	SP1	3	K562	DREME
SPP_short	MAFG	4	K562	DREME
SPP_short	ATF4	2	K562	DREME
SPP_short	YY1	4	K562	DREME
SPP_short	NEUROD1	0	K562	DREME
SPP_short	PKNOX1	0	K562	DREME
SPP_short	MEF2A	3	K562	DREME
SPP_short	JUND	2	K562	DREME
SPP_short	LEF1	3	K562	DREME
SPP_short	CREB3L1	2	K562	DREME
SPP_short	NR3C1	0	K562	DREME
SPP_short	ZZZ3	0	K562	DREME
SPP_short	MEIS2	1	K562	DREME
SPP_short	MAFK	5	K562	DREME
SPP_short	TCF12	1	K562	DREME
SPP_short	NFIC	5	K562	DREME
SPP_short	FOS	0	K562	DREME
SPP_short	ATF7	2	K562	DREME
SPP_short	KLF13	3	K562	DREME
SPP_short	GATA1	3	K562	DREME
SPP_short	MAFF	3	K562	DREME
SPP_short	NRF1	2	K562	DREME
SPP_short	CREM	4	K562	DREME
SPP_short	KLF16	0	K562	DREME
SPP_short	NR2C1	1	K562	DREME
SPP_short	KLF1	4	K562	DREME
SPP_short	NFE2	2	K562	DREME
SPP_short	NFATC3	1	K562	DREME
SPP_short	FOSL1	3	K562	DREME
SPP_short	CEBPG	3	K562	DREME
SPP_short	ZNF384	2	K562	DREME
SPP_short	RELA	0	K562	DREME
SPP_short	SREBF1	3	K562	DREME
SPP_short	HINFP	0	K562	DREME
SPP_short	ETV1	5	K562	DREME
SPP_short	RFX5	2	K562	DREME
SPP_short	ELF1	3	K562	DREME
SPP_short	NR2F6	4	K562	DREME
SPP_short	GATA2	3	K562	DREME
SPP_short	FOXA1	4	K562	DREME
SPP_short	IRF9	0	K562	DREME
SPP_short	ATF2	3	K562	DREME
SPP_short	ELF4	3	K562	DREME
SPP_short	CUX1	5	K562	DREME
SPP_short	ZBTB7A	1	K562	DREME
SPP_short	POU5F1	1	K562	DREME
SPP_short	NR2C2	1	K562	DREME
SPP_short	CEBPB	5	K562	DREME
SPP_short	NR4A1	1	K562	DREME
SPP_short	GMEB1	3	K562	DREME
SPP_short	BHLHE40	3	K562	DREME
SPP_short	ESRRA	3	K562	DREME
SPP_short	IRF2	2	K562	DREME
SPP_short	JUN	3	K562	DREME
SPP_short	TCF7	2	K562	DREME
SPP_short	MYBL2	1	K562	DREME
SPP_short	SMAD5	0	K562	DREME
SPP_short	HMBOX1	3	K562	DREME
SPP_short	ZNF740	2	K562	DREME
SPP_short	ETV6	5	K562	DREME
SPP_short	CREB3	1	K562	DREME
SPP_short	MAX	3	K562	DREME
SPP_short	HES1	3	K562	DREME
SPP_short	TEAD4	0	K562	DREME
SPP_short	ZNF263	5	K562	DREME
SPP_short	ZNF143	1	K562	DREME
SPP_short	NFE2L1	2	K562	DREME
SPP_short	ETS1	1	K562	DREME
SPP_short	ATF3	4	K562	DREME
SPP_short	ZBTB33	0	K562	DREME
SPP_short	VEZF1	4	K562	DREME
MOBI	SPI1	3	K562	DREME
MOBI	ETS2	0	K562	DREME
MOBI	TEAD2	2	K562	DREME
MOBI	USF2	2	K562	DREME
MOBI	MNT	2	K562	DREME
MOBI	ZBED1	3	K562	DREME
MOBI	MEF2D	4	K562	DREME
MOBI	JUNB	1	K562	DREME
